,Artist,Song,Class,probability_vector,label_vector
82,Shaggy," If U Slip, U Slide ",Happy,"[0.15704727172851562, 0.310702919960022, 0.30745112895965576, 0.19719824194908142, 0.01649758219718933, 0.03947606682777405, 0.022008419036865234]","[0, 1, 0, 0, 0, 0, 0]"
83,Rudimental,These Days,Happy,"[0.18046119809150696, 0.24491026997566223, 0.2066131830215454, 0.18242689967155457, 0.0011625289916992188, 0.014134228229522705, 0.010784655809402466]","[0, 1, 0, 0, 0, 0, 0]"
84,Florida Georgia Line,Cruise,Happy,"[0.25522154569625854, 0.2101571261882782, 0.18198832869529724, 0.10712718963623047, 0.00150260329246521, 0.03152257204055786, 0.02795255184173584]","[1, 0, 0, 0, 0, 0, 0]"
85,Grace VanderWaal,Clearly,Happy,"[0.2388116717338562, 0.2772773504257202, 0.26566818356513977, 0.2444293200969696, 0.002494722604751587, 0.10219165682792664, 0.051072537899017334]","[0, 1, 0, 0, 0, 0, 0]"
86,Cyndi Lauper,The Goonies 'r' Good Enough,Happy,"[0.3242538869380951, 0.3587515950202942, 0.33410102128982544, 0.34623801708221436, 0.06884238123893738, 0.21699154376983643, 0.22160544991493225]","[0, 1, 0, 0, 0, 0, 0]"
87,David Lee Murphy,Everything's Gonna Be Alright,Happy,"[0.27450746297836304, 0.21214863657951355, 0.17515027523040771, 0.26606693863868713, 0.005148023366928101, 0.05055958032608032, 0.046949148178100586]","[1, 0, 0, 0, 0, 0, 0]"
88,Smash Mouth,Walkin' On The Sun,Happy,"[0.2106548249721527, 0.208393394947052, 0.1374894082546234, 0.2597872018814087, 0.000356525182723999, 0.011936038732528687, 0.09993460774421692]","[0, 0, 0, 1, 0, 0, 0]"
89,Good Old Days,Roger Miller,Happy,"[0.35440322756767273, 0.27220621705055237, 0.2029929757118225, 0.32426247000694275, 0.014526069164276123, 0.05750599503517151, 0.2463100254535675]","[1, 0, 0, 0, 0, 0, 0]"
90,Roger Miller,I get up early in the morning,Happy,"[0.38801899552345276, 0.3016987442970276, 0.20198768377304077, 0.3131691813468933, 0.02758726477622986, 0.09216675162315369, 0.4667394757270813]","[0, 0, 0, 0, 0, 0, 1]"
91,Roger Miller,I'm a Nut,Happy,"[0.2963443398475647, 0.15593302249908447, 0.07745081186294556, 0.2676900029182434, 0.00012362003326416016, 0.054508358240127563, 0.07670840620994568]","[1, 0, 0, 0, 0, 0, 0]"
92,Warren Zevon,Werewolves of London,Happy,"[0.36238935589790344, 0.24465087056159973, 0.1892833709716797, 0.22028106451034546, 0.006462991237640381, 0.11602675914764404, 0.3132156729698181]","[1, 0, 0, 0, 0, 0, 0]"
93,Meghan Trainor,Me Too,Happy,"[0.2669786512851715, 0.2295893430709839, 0.19319087266921997, 0.20135974884033203, 0.01724076271057129, 0.12609902024269104, 0.007575392723083496]","[1, 0, 0, 0, 0, 0, 0]"
94,Florida Georgia Line,Simple,Happy,"[0.3651869297027588, 0.27964019775390625, 0.1668357253074646, 0.17508012056350708, 0.010164052248001099, 0.04338082671165466, 0.05515122413635254]","[1, 0, 0, 0, 0, 0, 0]"
95,RedOne,One World,Happy,"[0.28889501094818115, 0.3657732605934143, 0.3093274235725403, 0.25646501779556274, 0.06310898065567017, 0.14990049600601196, 0.07864180207252502]","[0, 1, 0, 0, 0, 0, 0]"
96,Maroon 5,Three Little Birds,Happy,"[0.36197543144226074, 0.29662662744522095, 0.29963546991348267, 0.25377389788627625, 0.014341682195663452, 0.05256366729736328, 0.026628315448760986]","[1, 0, 0, 0, 0, 0, 0]"
97,Brothers Osborne,It Ain’t My Fault,Happy,"[0.3265504240989685, 0.25276294350624084, 0.12611740827560425, 0.18877330422401428, 0.0003256499767303467, 0.021844565868377686, 0.05604049563407898]","[1, 0, 0, 0, 0, 0, 0]"
98,Willie Nelson,Just Breathe,Happy,"[0.31218692660331726, 0.29854923486709595, 0.22588366270065308, 0.2975667715072632, 0.012144893407821655, 0.17039212584495544, 0.016906917095184326]","[1, 0, 0, 0, 0, 0, 0]"
99,Florida Georgia Line,This Is How We Roll,Happy,"[0.21179279685020447, 0.15915724635124207, 0.17015454173088074, 0.11435067653656006, 7.309007196454331e-05, 0.016697227954864502, 0.009686887264251709]","[1, 0, 0, 0, 0, 0, 0]"
100,Peter Wolf,Come As You Are,Happy,"[0.34095969796180725, 0.33538728952407837, 0.35307055711746216, 0.36557382345199585, 0.09410947561264038, 0.25450098514556885, 0.23495164513587952]","[0, 0, 0, 1, 0, 0, 0]"
101,Queen,If You Can't Beat Them,Happy,"[0.31066659092903137, 0.21636083722114563, 0.23112094402313232, 0.24918749928474426, 0.002648264169692993, 0.0745883584022522, 0.09569165110588074]","[1, 0, 0, 0, 0, 0, 0]"
102,The Killers,The Man,Happy,"[0.33087480068206787, 0.245649516582489, 0.20908471941947937, 0.22750329971313477, 0.013852089643478394, 0.06345218420028687, 0.021458327770233154]","[1, 0, 0, 0, 0, 0, 0]"
103,Edward Sharpe,Home,Happy,"[0.28291434049606323, 0.22978538274765015, 0.18362101912498474, 0.11180037260055542, 0.0003762543201446533, 0.006667524576187134, 0.0033063292503356934]","[1, 0, 0, 0, 0, 0, 0]"
104,Neil Diamond,Something Blue,Happy,"[0.22507643699645996, 0.30898386240005493, 0.32145681977272034, 0.19942060112953186, 0.007362008094787598, 0.045401185750961304, 0.040815502405166626]","[0, 0, 1, 0, 0, 0, 0]"
105,Dolly Parton,Better Get To Livin',Happy,"[0.2539703845977783, 0.11522763967514038, 0.11384174227714539, 0.1514863669872284, 0.00040018558502197266, 0.0029534995555877686, 0.021533668041229248]","[1, 0, 0, 0, 0, 0, 0]"
106,Annie Lennox,Put A Little Love In Your Heart,Happy,"[0.2305653691291809, 0.38508880138397217, 0.32570022344589233, 0.3305739760398865, 0.06992492079734802, 0.17610448598861694, 0.0733771026134491]","[0, 1, 0, 0, 0, 0, 0]"
107,The Dead South,Travellin' Man,Happy,"[0.2722461223602295, 0.1511693298816681, 0.0932759940624237, 0.1460881233215332, 8.346790127689019e-05, 0.010271459817886353, 0.005940526723861694]","[1, 0, 0, 0, 0, 0, 0]"
108,The Dead South,Honey You,Happy,"[0.3563457727432251, 0.3578035533428192, 0.3142217993736267, 0.32046929001808167, 0.03640913963317871, 0.22046634554862976, 0.11939626932144165]","[0, 1, 0, 0, 0, 0, 0]"
109,VANITY FARE,hitchin' a ride,Happy,"[0.33817654848098755, 0.33077341318130493, 0.24009525775909424, 0.2844389081001282, 0.03919681906700134, 0.18781667947769165, 0.2621583342552185]","[1, 0, 0, 0, 0, 0, 0]"
110,Demun Jones,Feeling Good,Happy,"[0.2953684628009796, 0.11185848712921143, 0.04713338613510132, 0.11248436570167542, 4.972009264747612e-05, 0.009313970804214478, 0.0036970674991607666]","[1, 0, 0, 0, 0, 0, 0]"
